ID;Lat;Lon;Alt;Vel;Ax;Ay;Az;Mx;My;Mz
1;47.4733;19.0634166666667;113.5;0.02;0.115;0.058;1.023;34.56;-56.8;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.075;-0.072;0.982;34.56;-56.8;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.121;0.055;1.036;34.56;-56.8;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.088;-0.072;0.981;34.56;-56.8;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.108;0.049;1.041;34.08;-56.64;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.108;-0.041;0.964;34.08;-56.64;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.062;0.053;0.964;34.08;-56.64;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.127;-0.045;1.038;34.08;-56.64;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.064;0.052;0.996;34.08;-56.64;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.097;-0.018;1.029;34.08;-56.64;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.058;0.039;0.981;34.08;-56.48;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.121;-0.006;1.032;34.08;-56.48;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.064;0.016;0.99;34.08;-56.48;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.092;0.025;1.02;34.08;-56.48;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.083;-0.018;0.989;34.08;-56.48;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.099;0.042;1.024;34.08;-56.48;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.105;-0.063;1.009;33.6;-56.32;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.087;0.073;1.001;33.6;-56.32;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.116;-0.09;1.026;33.6;-56.32;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.085;0.073;0.991;33.6;-56.32;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.125;-0.082;1.025;33.6;-56.32;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.072;0.067;0.983;33.6;-56.32;-57.76
1;47.4733;19.0634166666667;113.5;0.02;0.111;-0.064;1.04;33.76;-56.96;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.078;0.064;0.98;33.76;-56.96;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.112;-0.049;1.029;33.76;-56.96;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.059;0.057;0.976;33.76;-56.96;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.113;-0.033;1.028;33.76;-56.96;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.07;0.036;1.008;33.76;-56.96;-57.92
1;47.4733;19.0634166666667;113.5;0.02;0.1;-0.014;1.013;33.76;-57.12;-56.8
1;47.4733;19.0634166666667;113.5;0.02;0.084;0.015;1.002;33.76;-57.12;-56.8
1;47.4733;19.0634166666667;113.5;0.02;0.097;0.024;1.015;33.76;-57.12;-56.8
1;47.4733;19.0634166666667;113.5;0.02;0.099;-0.057;1.018;33.76;-57.12;-56.8
1;47.4733;19.0634166666667;113.5;0.02;0.073;0.076;1.003;33.76;-57.12;-56.8
1;47.4733;19.0634166666667;113.5;0.02;0.121;-0.074;1.026;33.76;-57.12;-56.8
1;47.4733;19.0634166666667;113.5;0.02;0.092;0.059;0.983;33.44;-57.6;-57.44
1;47.4733;19.0634166666667;113.5;0.02;0.113;-0.069;1.037;33.44;-57.6;-57.44
1;47.4733;19.0634166666667;113.5;0.02;0.065;0.071;0.976;33.44;-57.6;-57.44
1;47.4733;19.0634166666667;113.5;0.02;0.117;-0.05;1.027;33.44;-57.6;-57.44
1;47.4733;19.0634166666667;113.5;0.02;0.083;0.064;0.97;33.44;-57.6;-57.44
1;47.4733;19.0634166666667;113.5;0.02;0.115;-0.04;1.043;33.44;-57.6;-57.44
1;47.4733;19.0634166666667;113.5;0.02;0.048;0.059;0.979;34.08;-57.44;-58.72
1;47.4733;19.0634166666667;113.5;0.02;0.134;-0.046;1.037;34.08;-57.44;-58.72
1;47.4733;19.0634166666667;113.5;0.02;0.064;0.058;0.979;34.08;-57.44;-58.72
1;47.4733;19.0634166666667;113.5;0.02;0.107;-0.021;1.016;34.08;-57.44;-58.72
1;47.4733;19.0634166666667;113.5;0.02;0.061;0.045;1.001;34.08;-57.44;-58.72
1;47.4733;19.0634166666667;113.5;0.02;0.099;-0.001;1.026;34.08;-57.44;-58.72
1;47.4733;19.0634166666667;113.5;0.02;0.076;-0.022;1.006;34.4;-56.64;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.091;0.039;1.013;34.4;-56.64;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.096;-0.049;1.011;34.4;-56.64;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.089;0.061;1.008;34.4;-56.64;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.111;-0.072;1.024;34.4;-56.64;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.079;0.07;0.998;34.4;-56.64;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.106;-0.081;1.04;33.92;-56.48;-57.28
1;47.4733;19.0634166666667;113.5;0.02;0.084;0.062;0.976;33.92;-56.48;-57.28
1;47.4733;19.0634166666667;113.5;0.02;0.121;-0.052;1.032;33.92;-56.48;-57.28
1;47.4733;19.0634166666667;113.5;0.02;0.063;0.052;0.976;33.92;-56.48;-57.28
1;47.4733;19.0634166666667;113.5;0.02;0.114;-0.036;1.039;33.92;-56.48;-57.28
1;47.4733;19.0634166666667;113.5;0.02;0.058;0.056;0.992;33.92;-56.48;-57.28
1;47.4733;19.0634166666667;113.5;0.02;0.12;-0.036;1.025;34.4;-56;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.061;0.056;0.988;34.4;-56;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.107;-0.01;1.028;34.4;-56;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.074;0.014;1.009;34.4;-56;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.079;0.015;1.015;34.4;-56;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.104;-0.049;1.016;34.4;-56;-56.48
1;47.4733;19.0634166666667;113.5;0.02;0.092;0.05;1.001;34.08;-56.96;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.113;-0.06;1.028;34.08;-56.96;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.07;0.064;0.979;34.08;-56.96;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.124;-0.057;1.03;34.08;-56.96;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.086;0.049;0.981;34.08;-56.96;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.108;-0.027;1.037;34.08;-56.96;-57.12
1;47.4733;19.0634166666667;113.5;0.02;0.057;0.047;0.967;34.72;-55.68;-56.32
1;47.4733;19.0634166666667;113.5;0.02;0.114;-0.025;1.022;34.72;-55.68;-56.32
1;47.4733;19.0634166666667;113.5;0.02;0.073;0.039;1;34.72;-55.68;-56.32
1;47.4733;19.0634166666667;113.5;0.02;0.093;0.003;1.024;34.72;-55.68;-56.32
1;47.4733;19.0634166666667;113.5;0.02;0.08;0.002;1.008;34.72;-55.68;-56.32
1;47.4733;19.0634166666667;113.5;0.02;0.105;0.019;1.014;34.72;-55.68;-56.32
1;47.4733;19.0634166666667;113.5;0.02;0.112;-0.036;1.015;34.72;-56.8;-56.96
